ID,Bounding Box 1,Bounding Box 2,Bounding Box 3,Bounding Box 4,Bounding Box 5,Bounding Box 6,Bounding Box 7,Bounding Box 8,Bounding Box 9,Bounding Box 10,dicom_id
10,,,,,,,,,,,2aa0617f-e2078a66-aabf9e81-83a6e28c-0b16ad30
12,,,,,,,,,,,2aa0617f-e2078a66-aabf9e81-83a6e28c-0b16ad30
14,,,,,,,,,,,2aa0617f-e2078a66-aabf9e81-83a6e28c-0b16ad30
17,,,,,,,,,,,85c363f0-f551672b-c20e32d9-0d7c5522-cc076373
31,,,,,,,,,,,3db10b12-1c0c2273-0eb4d5ba-ea1331d9-aa0d7d3d
34,,,,,,,,,,,b42188f0-5556f30b-7c5e7ef8-b2462bdb-697ff8b2
37,,,,,,,,,,,b42188f0-5556f30b-7c5e7ef8-b2462bdb-697ff8b2
49,,,,,,,,,,,933ffae8-c244fef5-e9b5e339-55dee712-e29032e4
50,,,,,,,,,,,933ffae8-c244fef5-e9b5e339-55dee712-e29032e4
55,,,,,,,,,,,8011d9cb-8f3ea017-86ad36bd-5e7380ff-32005f00
66,,,,,,,,,,,38d11cf4-31201d6b-f761f181-41cb6e56-dd63e24e
76,,,,,,,,,,,d0bb6089-432c8528-657f7f07-8108422b-95736c36
79,,,,,,,,,,,f0358e42-f36d9497-d5b3e082-52837e1e-07bcce84
85,,,,,,,,,,,928aea7f-4ed6f632-fc5e67c0-1c34402a-f52afbf7
90,,,,,,,,,,,977eb09d-c5d88197-de0097d8-2a60dcb2-f3d335c8
92,,,,,,,,,,,c4713b43-d31ad200-30f7309b-ba7d87e3-b69db479
113,,,,,,,,,,,638f2c7f-1ddfe2c3-062f8057-b3e8a5aa-17b03955
118,,,,,,,,,,,7a7e83ac-f689ed0f-303307ec-aa62af5c-3ba2b299
122,,,,,,,,,,,5f413946-229649bd-08638552-c5e562de-3746f8e5
127,,,,,,,,,,,fe50ae6a-05517569-82fad800-9493d965-3e1d332a
140,,,,,,,,,,,9510afc7-51b89183-e1c4d6bb-b5c42bd7-252a479d
142,,,,,,,,,,,6bea2b29-75ec6478-b72070e6-8a4c2613-4e498d43
144,,,,,,,,,,,47591231-21c7a83d-cb112267-d7acf334-d5a4648a
159,,,,,,,,,,,0d6bab2e-8972f417-7346c51e-ec9635ff-f1871501
162,,,,,,,,,,,ed87c5b1-780353ac-d86ed4ba-3804bb06-9df57555
165,,,,,,,,,,,229975a2-d2e6a791-a66a597a-9b370606-8323c2cd
170,,,,,,,,,,,a903df4c-35df6cac-1ab1b32a-10c83d71-12a2e2db
